"Date","Close","Open","High","Low","Vol.","Change %"
"05/02/2024","3,895.00","3,850.00","3,895.00","3,850.00","0.40K","0.85%"
"04/30/2024","3,862.00","3,951.00","3,965.00","3,854.00","1.71K","-2.20%"
"04/29/2024","3,949.00","3,965.00","3,990.00","3,924.00","1.10K","0.46%"
"04/26/2024","3,931.00","3,952.00","3,986.00","3,922.00","3.70K","-0.68%"
"04/25/2024","3,958.00","4,054.00","4,054.00","3,904.00","2.51K","-2.03%"
"04/24/2024","4,040.00","4,060.00","4,111.00","4,016.00","2.00K","-0.81%"
"04/23/2024","4,073.00","4,059.00","4,143.00","4,055.00","2.95K","-0.12%"
"04/22/2024","4,078.00","4,075.00","4,096.00","4,005.00","2.92K","0.54%"
"04/19/2024","4,056.00","4,130.00","4,165.00","4,025.00","3.71K","-1.67%"
"04/18/2024","4,125.00","4,145.00","4,172.00","4,120.00","2.87K","-0.82%"
"04/17/2024","4,159.00","4,217.00","4,230.00","4,115.00","6.32K","-1.31%"
"04/16/2024","4,214.00","4,299.00","4,299.00","4,213.00","4.03K","-4.34%"
"04/15/2024","4,405.00","4,498.00","4,498.00","4,400.00","0.28K","-2.07%"
"04/12/2024","4,498.00","4,490.00","4,591.00","4,450.00","0.23K","-0.42%"
"04/09/2024","4,517.00","4,520.00","4,537.00","4,514.00","0.17K","0.07%"
"04/08/2024","4,514.00","4,536.00","4,540.00","4,469.00","1.30K","-1.10%"
"04/05/2024","4,564.00","4,548.00","4,566.00","4,531.00","0.82K","-0.28%"
"04/04/2024","4,577.00","4,560.00","4,591.00","4,543.00","0.88K","-0.04%"
"04/03/2024","4,579.00","4,508.00","4,600.00","4,505.00","0.89K","2.58%"
"04/02/2024","4,464.00","4,395.00","4,467.00","4,384.00","0.64K","1.04%"
"04/01/2024","4,418.00","4,360.00","4,420.00","4,351.00","0.37K","2.15%"
"03/29/2024","4,325.00","4,288.00","4,328.00","4,281.00","0.87K","1.62%"
"03/27/2024","4,256.00","4,330.00","4,338.00","4,250.00","2.80K","-1.75%"
"03/26/2024","4,332.00","4,361.00","4,382.00","4,320.00","2.18K","-0.46%"
"03/25/2024","4,352.00","4,322.00","4,375.00","4,284.00","0.95K","1.04%"
"03/22/2024","4,307.00","4,355.00","4,381.00","4,299.00","1.66K","-1.03%"
"03/21/2024","4,352.00","4,376.00","4,400.00","4,334.00","1.49K","-0.27%"
"03/20/2024","4,364.00","4,300.00","4,393.00","4,297.00","2.00K","1.56%"
"03/19/2024","4,297.00","4,332.00","4,350.00","4,286.00","1.91K","-0.67%"
"03/18/2024","4,326.00","4,401.00","4,404.00","4,305.00","2.74K","-0.02%"
"03/15/2024","4,327.00","4,360.00","4,360.00","4,327.00","0.00K","-0.07%"
"03/14/2024","4,330.00","4,238.00","4,394.00","4,238.00","0.04K","2.00%"
"03/13/2024","4,245.00","4,207.00","4,245.00","4,207.00","0.04K","1.07%"
"03/12/2024","4,200.00","4,220.00","4,231.00","4,200.00","0.09K","-0.19%"
"03/11/2024","4,208.00","4,150.00","4,185.00","4,135.00","0.11K","0.65%"
"03/08/2024","4,181.00","4,165.00","4,222.00","4,165.00","0.10K","0.87%"
"03/07/2024","4,145.00","4,145.00","4,145.00","4,145.00","0.34K","0.07%"
"03/06/2024","4,142.00","4,086.00","4,145.00","4,085.00","0.08K","2.30%"
"03/05/2024","4,049.00","4,040.00","4,052.00","4,040.00","0.02K","0.80%"
